Workout Number,Workout,Description,Button Sequence,Type
121,6 x 3 min / 3 min easy,Row six 3 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-B-E  ,Medium
122,"10,000m with rate changes every 2000m: 24-22-24-26-24","Row a 10,000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
123,3 x 2000m / 1 min easy,Row three 2000 meter pieces. Row for one minute at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
124,"10,000m with rate changes every 2000m: 26-24-22-24-26","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 26 spm, 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, and 2000 meters @ 26 spm.",B-A-C  ,Medium
125,"10,000m with rate changes every 2000m: 22-24-26-24-22","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, 2000 meters @ 24 spm, and 2000 meters @ 22 spm.",B-A-C  ,Medium
126,6 x 3 min / 3 min easy,Row six 3 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-B-E  ,Medium
127,3 x 2000m / 3 min easy,Row three 2000 meter pieces. Row for three minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Medium
128,30 minute time trial,"Row a 30 minute time trial, going for your personal best. After you've rowed, enter your result in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-D  ,Medium
129,3 x 2000m / 1 min easy,Row three 2000 meter pieces. Row for one minute at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
130,"10,000m with rate changes every 2000m: 22-24-26-24-22","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, 2000 meters @ 24 spm, and 2000 meters @ 22 spm.",B-A-C  ,Medium
131,6 x 4 min / 3 min easy,Row six 4 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-B-B-E  ,Medium
132,40 minutes with rate change 22-24-26,"Row a 40 minute piece at moderate intensity, changing stroke rate every two minutes as follows: start at 22 spm, then 24 spm, then 26, 24, 22, 24 and so on.",B-D-B-B-E  ,Medium
133,3 x 2000m rate increase / 4 min easy,"Row three 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
134,3 x 8 min / 2 min easy,Row three 8 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
135,5 x 1500m / 1 min easy,Row five 1500 meter pieces. Row for one minute at light pressure between each piece.,B-D-D-A-D-B-A-A-A-A-A-B-E  ,Medium
136,"10,000 meter time trial","Row a 10,000 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-C  ,Medium
137,3 x 6 min / 4 min easy,Row three 6 minute pieces. Row for four minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-B-B-E  ,Medium
138,"10,000m with rate changes every 2000m: 22-26-22-26-22","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 26 spm, 2000 meters @ 22 spm, 2000 meters @ 26 spm, and 2000 meters @ 22 spm.",B-A-C  ,Medium
139,40 minutes with rate change 22-24,"Row a 40 minute piece at moderate intensity, changing stroke rate every two minutes as follows: start at 22 spm, then 24 spm, back to 22 spm and so on.",B-D-B-B-E  ,Medium
140,4 x 6 min / 3 min easy,Row four 6 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-B-E  ,Medium
141,4 x 8 min / 2 min easy,Row four 8 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
142,12 x 500m / 2 min easy,Row twelve 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Medium
143,2 x 4000m rate increase / 4 min easy,"Row two 4000 meter pieces. In each piece the first 2000m @ 22 spm. Then 1000m @ 24 spm, 500m @ 26 and 500m @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
144,3 x 2000m rate increase / 4 min easy,"Row three 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
145,3 x 1500m / 3 min easy,Row three 1500 meter pieces. Row for three minutes at light pressure between each 1500.,B-D-D-A-D-B-A-A-A-A-A-B-B-B-E  ,Medium
146,5 x 6 min / 1 min easy,Row five 6 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-E  ,Medium
147,3 x 10 min / 4 min easy,Row three 10 minute pieces. Row for four minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Medium
148,40 minutes with rate change 22-24,"Row a 40 minute piece at moderate intensity, changing stroke rate every two minutes as follows: start at 22 spm, then 24 spm, back to 22 spm and so on.",B-D-B-B-E  ,Medium
149,"2000m, 1500m, 1000m, 500m / 3 min easy","Row four intervals of 2000m, 1500m, 1000m and 500m, with three minutes of rest in between each piece.",B-D-D-D-C-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E-C-B-B-B-B-B-D-C-E-C-C-C-C-C-C-E-C-B-B-B-B-B-D-C-E-E  ,Medium
150,"10,000m with rate changes every 2000m: 24-22-24-26-24","Row a 10,000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
151,4 x 2000m / 2 min easy,Row four 2000 meter pieces. Row for two minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
152,30 minute time trial,"Row a 30 minute time trial, going for your personal best. After you've rowed, enter your result in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-D  ,Medium
153,3 x 8 min with level change,Pre-set the monitor for a work time of 8:00 and a rest time of 4:00.Let your stroke rate vary as follows per interval:,,
154,"First interval: 3 minutes @20, 1 minute @24, 3 minutes @22, 1 minute @26 Second interval: 2 minutes @20, 2 minutes @24, 2 minutes @22, 2 minutes @26 Third interval: 1 minute @20, 3 minutes @24, 1 minute @22, 3 minutes @26.",,,
155,During the rest time continue rowing at light pressure.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-B-B-E  ,Medium, 
156,40 minutes with rate change 22-24-26,"Row a 40 minute piece at moderate intensity, changing stroke rate every two minutes as follows: start at 22 spm, then 24 spm, then 26, 24, 22, 24 and so on.",B-D-B-B-E  ,Medium
157,3 x 3000m / 2 min easy,Row three 3000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
158,3 x 10 min / 4 min easy,Row three 10 minute pieces. Row for four minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Medium
159,4 x 1500m / 2 min easy,Row four 1500 meter pieces. Row for two minutes at light pressure between each 1500.,B-D-D-A-D-B-A-A-A-A-A-B-B-E  ,Medium
160,3 x 1500m / 3 min easy,Row three 1500 meter pieces. Row for three minutes at light pressure between each 1500.,B-D-D-A-D-B-A-A-A-A-A-B-B-B-E  ,Medium
161,"10,000m with rate changes every 2000m: 26-24-22-24-26","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 26 spm, 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, and 2000 meters @ 26 spm.",B-A-C  ,Medium
162,"10,000m with rate changes every 2000m: 24-22-24-26-24","Row a 10,000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
163,5 x 5 min / 2 min easy,Row five 5 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
164,3 x 3000m / 2 min easy,Row three 3000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
165,3 x 1500m / 3 min easy,Row three 1500 meter pieces. Row for three minutes at light pressure between each 1500.,B-D-D-A-D-B-A-A-A-A-A-B-B-B-E  ,Medium
166,6 x 1000m / 3 min easy,Row six 1000 meter pieces. Row for three minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Medium
167,"10,000 meter time trial","Row a 10,000 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-C  ,Medium
168,3 x 2000m / 3 min easy,Row three 2000 meter pieces. Row for three minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Medium
169,3 x 8 min / 2 min easy,Row three 8 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
170,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
171,6 x 4 min / 2 min easy,Row six 4 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-B-E  ,Medium
172,28 minutes with rate increase,"Row a single 28 minute piece. Row the first seven minutes @ 18 spm. Then six minutes @ 20 spm, five @ 22, four @ 24, three @ 26, two @ 28 and one @ 30.",B-D-B-C-A-B-B-B-B-B-B-B-B-E  ,Medium
173,10 x 2 min / 1 min easy,"Pre-set the monitor for a work time of 2:00 and a rest time of 1:00. Alternate two minutes of fairly intense rowing with one minute of relaxed rowing, for a total of 30 minutes.",B-D-D-B-B-A-A-A-A-B-E  ,Medium
174,"10,000m with rate changes every 2000m: 22-24-26-28-24","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, 2000 meters @ 28 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
175,3 x 3000m / 2 min easy,Row three 3000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
176,4 x 2000m / 1 min easy,Row four 2000 meter pieces. Row for one minute at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
177,4 x 5 min / 3 min easy,Row four 5 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-B-E  ,Medium
178,4 x 6 min / 3 min easy,Row four 6 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-B-E  ,Medium
179,3 x 2000m / 2 min easy,Row three 2000 meter pieces. Row for two minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
180,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
181,2 x 15 min @ 26 spm / 4 min easy,Row two 15 minute pieces @ 26 spm. Row for four minutes at light pressure during the rest period.,B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-B-E  ,Medium
182,8 x 1000m / 1 min easy,Row eight 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
183,3 x 8 min / 4 min easy,Row three 8 minute pieces. Row for four minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-B-B-E  ,Medium
184,"10,000m with rate changes every 2000m: 22-26-22-26-22","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 26 spm, 2000 meters @ 22 spm, 2000 meters @ 26 spm, and 2000 meters @ 22 spm.",B-A-C  ,Medium
185,"10,000m with rate changes every 2000m: 22-24-26-28-24","Row for a total of 10,000 meters at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, 2000 meters @ 28 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
186,3 x 8 min / 2 min easy,Row three 8 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
187,3 x 2000m rate increase / 4 min easy,"Row three 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
188,3 x 2000m / 2 min easy,Row three 2000 meter pieces. Row for two minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
189,"10,000m with rate changes every 2000m: 24-22-24-26-24","Row a 10,000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 2000 meters @ 24 spm, 2000 meters @ 22 spm, 2000 meters @ 24 spm, 2000 meters @ 26 spm, and 2000 meters @ 24 spm.",B-A-C  ,Medium
190,8 x 500m / 2 min easy,Row eight 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Medium
191,6 x 5 min / 2 min easy,Row six 5 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
192,2 x 4000m rate increase / 4 min easy,"Row two 4000 meter pieces. In each piece the first 2000m @ 22 spm. Then 1000m @ 24 spm, 500m @ 26 and 500m @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
193,6 x 3 min / 2 min easy,Row six 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Medium
194,8 x 1000m / 2 min easy,Row eight 1000 meter pieces. Row for two minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
195,6 x 4 min / 2 min easy,Row six 4 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-B-E  ,Medium
196,6 x 1000m / 2 min easy,Row six 1000 meter pieces. Row for two minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Medium
197,10 x 2 min / 1 min easy,"Pre-set the monitor for a work time of 2:00 and a rest time of 1:00. Alternate two minutes of fairly intense rowing with one minute of relaxed rowing, for a total of 30 minutes.",B-D-D-B-B-A-A-A-A-B-E  ,Medium
198,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
199,10 x 500m / 2 min easy,Row ten 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Medium
200,10 x 500m / 2 min easy,Row ten 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Medium
201,8 x 500m / 2 min easy,Row eight 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Medium
202,6 x 1000m / 1 min easy,Row six 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
203,6 x 4 min / 1 min easy,Row six 4 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-E  ,Medium
204,5 x 6 min / 2 min easy,Row five 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
205,3 x 2000m rate increase / 4 min easy,"Row three 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
206,40 minutes with rate change 22-24,"Row a 40 minute piece at moderate intensity, changing stroke rate every two minutes as follows: start at 22 spm, then 24 spm, back to 22 spm and so on.",B-D-B-B-E  ,Medium
207,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
208,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
209,3 x 1500m / 2 min easy,Row three 1500 meter pieces. Row for two minutes at light pressure between each 1500.,B-D-D-A-D-B-A-A-A-A-A-B-B-E  ,Medium
210,6 x 2000m / 3 min easy,Row six 2000 meter pieces. Row for three minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
211,"2 x 10,000m / 6 min easy","Row two 10,000 meter pieces. Row for six minutes at light pressure between each piece.",B-D-D-D-C-D-D-B-A-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E-C-A-A-A-A-C-C-C-C-C-C-E-E  ,Long
212,2 x 8000m / 5 min easy,Row two 8000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
213,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
214,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
215,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
216,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
217,2 x 6000m rate increase 22-26 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 22 spm. Then 2000m @ 24 spm and 1000m @ 26. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
218,2 x 30 min / 2 min easy,Row two 30 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-A-C-A-A-A-A-B-B-E  ,Long
219,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
220,5 x 10 min / 2 min easy,Row five 10 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-E  ,Long
221,2 x 6000m rate increase 24-28 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 24 spm. Then 2000m @ 26 spm and 1000m @ 28. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
222,3 x 21 min with rate increase / 4 min easy,"Row three 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
223,3 x 20 min / 5 min easy,Row three 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
224,4 x 12 min with level change,Pre-set the monitor for a work time of 12:00 and a rest time of 4:00.Let your stroke rate vary as follows per interval:,,
225,"First interval: 5 minutes @20, 1 minute @24, 5 minutes @22, 1 minute @26 Second interval: 4 minutes @20, 2 minutes @24, 4 minutes @22, 2 minutes @26 Third interval: 3 minutes @20, 3 minutes @24, 3 minutes @22, 3 minutes @26 Fourth interval: 2 minutes @20, 4 minutes @24, 2 minutes @22, 4 minutes @26.",,,
226,During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-B-E  ,Long, 
227,3 x 21 min with rate increase / 4 min easy,"Row three 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
228,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
229,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
230,2 x 6000m / 2 min easy,Row two 6000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
231,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
232,2 x 20 min / 5 min easy,Row two 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
233,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
234,2 x 6000m / 2 min easy,Row two 6000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
235,"42,195m (Marathon) time trial","Row a 42,195 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-B-E  ,Long
236,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
237,5 x 3000m / 3 min easy,Row five 3000 meter pieces. Row for three minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
238,3 x 20 min / 5 min easy,Row three 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
239,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
240,6 x 2000m rate change 22-24 / 2 min easy,Row six 2000 meter pieces. In each piece change the rate every 500m. The first 500m @ 22 spm. Then 500m @ 24 spm. 500m @ 22 and 500m @ 24. Row for two minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
241,4 x 15 min with rate increase / 3 min easy,"Row four 15 minute pieces. Row the first five minutes of each @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28. Row for three minutes at light pressure during the rest period.",B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-E  ,Long
242,4 x 10 min with rate increase / 4 min easy,"Row four 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
243,60 minutes with rate changes every 5 minutes: 22-24-22-24,"Row a 60 minute piece at a sustainable intensity, varying your stroke rate as follows: row five minutes @ 22 spm, five minutes @ 24 spm, five minutes @ 22 spm and so on.",B-D-B-D-B-A-C-C-C-E  ,Long
244,5 x 12 min / 3 min easy,Row five 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
245,5 x 2000m rate increase 20-26 / 2 min easy,"Row five 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
246,5 x 2000m rate increase 22-28 / 2 min easy,"Row five 2000 meter pieces. In each piece, row the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
247,6 x 2000m / 3 min easy,Row six 2000 meter pieces. Row for three minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
248,5 x 2000m rate increase 20-26 / 2 min easy,"Row five 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
249,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
250,5 x 10 min with rate increase / 4 min easy,"Row five 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
